frame,timestamp,wall_clock_ms,zone,px,py,angle,fov,render_w,render_h,dt_floor_ceil,dt_walls,dt_cast,dt_blit_walls,dt_visplane,dt_entities,dt_tint,dt_upscale,dt_hud,dt_sim,dt_physics,dt_frame_total,fps,strip_cache_size,strip_cache_prev_size,col_cache_size,ent_pool_size,bb_base_cache_size,glyph_cache_size,n_entities_visible,n_entity_billboards,n_deferred_halves,n_slices,c_extension_active
44,1771515497.346624,472.63489999750163,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.698,0.973,0.289,0.683,0.672,1.295,0.001,0.224,1.104,,,5.11,92.6,1785,0,0,0,0,141,14,12,118,238,True
45,1771515497.3566263,482.59699999471195,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.638,0.931,0.274,0.657,0.656,1.258,0.001,0.244,1.067,,,4.931,92.6,1785,0,0,0,0,141,14,12,118,238,True
46,1771515497.3676286,493.59719999483787,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.65,0.93,0.275,0.655,0.654,1.266,0.001,0.281,1.062,,,4.982,92.6,1785,0,0,0,0,141,14,12,118,238,True
47,1771515497.378631,504.62799999513663,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.654,0.947,0.273,0.674,0.66,1.249,0.001,0.227,1.072,,,4.948,92.6,1785,0,0,0,0,141,14,12,118,238,True
48,1771515497.3896334,515.6104999914533,pawn_shop,6.733,7.842,4.5644,1.0472,480,320,0.659,0.943,0.275,0.669,0.654,1.284,0.001,0.224,1.074,,,4.981,92.6,1785,0,0,0,0,141,14,12,118,238,True
49,1771515497.400637,526.9047999900067,pawn_shop,6.731,7.829,4.5644,1.0472,480,320,0.753,1.089,0.319,0.77,0.725,1.325,0.001,0.299,1.104,,,5.452,92.6,1789,0,0,0,0,141,14,12,117,237,True
50,1771515497.4116392,537.7135000017006,pawn_shop,6.728,7.805,4.5644,1.0472,480,320,0.751,1.032,0.31,0.722,0.673,1.311,0.001,0.283,1.092,,,5.291,87.7,1789,0,0,0,0,141,14,12,117,237,True
51,1771515497.421662,547.6718999998411,pawn_shop,6.723,7.774,4.5644,1.0472,480,320,0.664,0.993,0.272,0.722,0.666,1.261,0.001,0.246,1.067,,,5.038,87.7,1795,0,0,0,0,141,14,12,115,235,True
52,1771515497.4326434,558.6795999988681,pawn_shop,6.718,7.736,4.5644,1.0472,480,320,0.689,0.99,0.282,0.708,0.662,1.28,0.001,0.233,1.075,,,5.069,87.7,1798,0,0,0,0,141,14,12,115,235,True
53,1771515497.4436462,569.6944999945117,pawn_shop,6.711,7.693,4.5644,1.0472,480,320,0.724,1.029,0.296,0.733,0.671,1.315,0.001,0.298,1.127,,,5.318,87.7,1803,0,0,0,0,141,14,12,114,234,True
54,1771515497.4546483,580.7797000015853,pawn_shop,6.704,7.645,4.5644,1.0472,480,320,0.932,1.119,0.335,0.784,0.728,1.377,0.001,0.358,1.13,,,5.824,87.7,1810,0,0,0,0,141,14,12,111,231,True
55,1771515497.4646509,590.7669000007445,pawn_shop,6.697,7.595,4.5644,1.0472,480,320,0.777,1.134,0.315,0.819,0.716,1.375,0.001,0.354,1.122,,,5.662,87.7,1823,0,0,0,0,141,14,12,112,232,True
